,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
0,c_incunabula_0001,synthetic-google-hashcode,81061,11926,90300,352.13,32821.53,14.77,454.38,56054.69,9.8
1,c_incunabula_0002,synthetic-google-hashcode,96747,9912,100000,300.76,26409.4,17.97,511.94,55341.75,13.55
2,c_incunabula_0003,synthetic-google-hashcode,81093,8377,91077,345.04,29879.09,12.2,506.08,40661.11,13.25
3,c_incunabula_0004,synthetic-google-hashcode,89141,8402,87125,300.76,32587.07,17.43,535.86,43748.59,12.46
4,c_incunabula_0005,synthetic-google-hashcode,100000,11707,90549,308.56,32606.65,17.79,432.29,49511.38,12.91
5,c_incunabula_0006,synthetic-google-hashcode,91004,10000,97833,275.91,29879.09,17.5,458.57,49511.38,12.6
6,c_incunabula_0007,synthetic-google-hashcode,83415,11174,100000,265.58,34352.66,16.44,519.82,50858.85,12.26
7,c_incunabula_0008,synthetic-google-hashcode,96605,10003,83159,300.76,29879.09,14.78,515.29,42372.04,11.99
8,c_incunabula_0009,synthetic-google-hashcode,80037,11872,87306,325.76,34884.71,15.03,579.33,42212.1,9.48
9,c_incunabula_0010,synthetic-google-hashcode,88530,8130,88764,279.57,30685.33,16.88,412.59,58917.84,10.31
