,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
0,b_read_on_76902392_0001,synthetic-google-hashcode,100000,58,1106,73.51,0.0,774.67,18.48,1.0,0.0
1,b_read_on_2ccc9bc1_0002,synthetic-google-hashcode,13190,134,1381,131.52,0.0,1535.41,11.81,1.69,0.0
2,b_read_on_dca4c814_0003,synthetic-google-hashcode,80963,188,389,161.77,0.0,1703.25,18.48,1.3,0.0
3,b_read_on_1e3fc0aa_0004,synthetic-google-hashcode,67294,64,884,181.23,0.0,957.87,11.81,1.57,0.0
4,b_read_on_106f2d8e_0005,synthetic-google-hashcode,100000,52,1520,133.33,0.0,429.76,10.2,1.73,0.0
5,b_read_on_0cd4d880_0006,synthetic-google-hashcode,59136,44,1000,100.0,0.0,1569.75,13.92,1.69,0.0
6,b_read_on_2ef313db_0007,synthetic-google-hashcode,90827,112,1472,97.71,0.0,1671.02,20.8,1.47,0.0
7,b_read_on_242f8809_0008,synthetic-google-hashcode,43500,186,764,100.0,0.0,1000.0,11.81,1.2,0.0
8,b_read_on_2330bdc9_0009,synthetic-google-hashcode,33471,100,1598,24.34,0.0,990.14,11.81,1.06,0.0
9,b_read_on_6081ac70_0010,synthetic-google-hashcode,72011,175,1000,163.74,0.0,237.06,11.81,1.85,0.0
10,b_read_on_0e9235cd_0011,synthetic-google-hashcode,31405,143,254,133.21,0.0,1000.0,18.22,1.12,0.0
11,b_read_on_d6119537_0012,synthetic-google-hashcode,100000,150,631,69.45,0.0,768.49,21.74,1.0,0.0
12,b_read_on_b4c4e1fb_0013,synthetic-google-hashcode,25318,127,1785,83.34,0.0,1337.28,11.81,1.02,0.0
13,b_read_on_8fa86354_0014,synthetic-google-hashcode,63414,65,1848,94.42,0.0,1472.4,20.83,1.41,0.0
14,b_read_on_4f7c5616_0015,synthetic-google-hashcode,55745,98,1416,185.3,0.0,111.49,1.96,1.89,0.0
15,b_read_on_76caa6c9_0016,synthetic-google-hashcode,94678,106,519,162.25,0.0,1166.67,11.81,1.0,0.0
16,b_read_on_ababfba5_0017,synthetic-google-hashcode,80489,100,411,100.0,0.0,122.95,11.81,1.48,0.0
17,b_read_on_1455b43f_0018,synthetic-google-hashcode,49823,24,1574,100.0,0.0,594.44,14.01,1.42,0.0
18,b_read_on_c2fd6c6d_0019,synthetic-google-hashcode,44367,69,634,102.59,0.0,1000.0,10.97,1.18,0.0
19,b_read_on_5f2e5735_0020,synthetic-google-hashcode,54883,80,179,64.35,0.0,1000.0,21.3,1.89,0.0
