,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
0,c_incunabula_5d493d67_0001,synthetic-google-hashcode,98192,10632,95696,280.64,28493.76,14.46,509.82,45140.09,11.2
1,c_incunabula_f389eebc_0002,synthetic-google-hashcode,100000,10113,91089,312.3,28102.39,15.87,478.87,53502.97,11.69
2,c_incunabula_85641a74_0003,synthetic-google-hashcode,91957,10334,100000,312.43,30275.82,16.16,472.96,52674.51,11.21
3,c_incunabula_d0c66b8c_0004,synthetic-google-hashcode,94637,10994,94649,324.73,27669.16,14.86,456.07,49511.38,11.41
4,c_incunabula_64ca4054_0005,synthetic-google-hashcode,98968,10588,100000,297.13,28036.39,15.03,506.08,50291.58,11.17
5,c_incunabula_bebdb32f_0006,synthetic-google-hashcode,90188,10000,100000,296.15,27541.8,15.12,528.13,53293.71,12.09
6,c_incunabula_cba1bb82_0007,synthetic-google-hashcode,93027,9846,93996,300.76,29879.09,16.44,506.08,49511.38,11.82
7,c_incunabula_ab693173_0008,synthetic-google-hashcode,99994,9248,100000,300.76,31876.19,14.67,466.68,48721.03,11.09
8,c_incunabula_3d7549da_0009,synthetic-google-hashcode,91568,10000,93458,290.04,32086.71,15.8,495.01,51856.08,10.67
9,c_incunabula_a835a6bf_0010,synthetic-google-hashcode,100000,10269,95050,323.28,29774.98,15.17,513.64,52375.01,11.86
10,c_incunabula_119d8262_0011,synthetic-google-hashcode,98648,9795,99164,300.76,32676.72,14.31,506.08,49511.38,10.97
11,c_incunabula_8c670b2f_0012,synthetic-google-hashcode,97344,10000,97697,308.92,30999.14,15.83,518.99,47689.46,12.77
12,c_incunabula_e9dd1883_0013,synthetic-google-hashcode,94009,10000,94316,318.89,29860.85,16.5,494.25,54165.22,12.85
13,c_incunabula_288de09f_0014,synthetic-google-hashcode,100000,10697,91436,300.76,30524.18,15.23,477.39,52610.29,11.03
14,c_incunabula_345d5125_0015,synthetic-google-hashcode,95613,10000,90399,300.76,27643.64,15.03,506.08,49511.38,10.98
15,c_incunabula_66fc0d36_0016,synthetic-google-hashcode,93475,10116,94769,287.46,27906.76,15.56,515.12,49511.38,11.69
16,c_incunabula_aad71dd4_0017,synthetic-google-hashcode,91662,9679,96110,289.63,32588.03,15.65,475.03,45929.98,10.98
17,c_incunabula_11a0bc6b_0018,synthetic-google-hashcode,97400,9084,98502,300.76,28625.95,13.83,551.87,49511.38,11.28
18,c_incunabula_358c772c_0019,synthetic-google-hashcode,97219,10000,99325,272.23,32522.04,15.44,506.08,54214.69,12.19
19,c_incunabula_546ada15_0020,synthetic-google-hashcode,91031,10454,100000,293.13,29879.09,16.22,556.25,49511.38,11.59
