,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
0,d_tough_choices_08800a3d_0001,synthetic-google-hashcode,27948,41243,28714,62.86,0.0,6.92,2.67,1.65,12.3
1,d_tough_choices_d3214a7f_0002,synthetic-google-hashcode,85015,30000,30001,65.0,0.0,9.38,1.56,1.52,9.58
2,d_tough_choices_7ec0c803_0003,synthetic-google-hashcode,78600,40208,38221,73.9,0.0,5.37,1.2,1.28,1.95
3,d_tough_choices_f5028cfb_0004,synthetic-google-hashcode,59146,6481,39796,79.71,0.0,5.41,3.32,1.19,12.15
4,d_tough_choices_14e4b4fe_0005,synthetic-google-hashcode,56823,40690,27405,80.57,0.0,5.32,2.0,1.37,11.24
5,d_tough_choices_f4dfafad_0006,synthetic-google-hashcode,24908,43884,30001,64.3,0.0,5.07,2.0,1.52,6.66
6,d_tough_choices_6b74fd08_0007,synthetic-google-hashcode,99971,39564,9672,73.58,0.0,13.05,2.0,1.12,12.27
7,d_tough_choices_580177f2_0008,synthetic-google-hashcode,63111,33281,11070,97.99,0.0,3.47,3.07,1.11,9.52
8,d_tough_choices_32f5e694_0009,synthetic-google-hashcode,62989,44042,33379,60.36,0.0,7.36,2.9,1.69,10.39
9,d_tough_choices_6c51d2e0_0010,synthetic-google-hashcode,54189,28533,17695,84.15,0.0,9.31,1.17,1.29,7.36
10,d_tough_choices_700d438d_0011,synthetic-google-hashcode,25391,7196,24059,23.41,0.0,10.37,1.84,1.0,12.76
11,d_tough_choices_193ff751_0012,synthetic-google-hashcode,33950,47310,6911,115.19,0.0,12.32,1.37,1.0,8.02
12,d_tough_choices_0389b683_0013,synthetic-google-hashcode,65142,13721,47684,88.72,0.0,11.87,2.07,1.37,11.22
13,d_tough_choices_2b5f7347_0014,synthetic-google-hashcode,66165,36494,16439,98.74,0.0,1.53,3.34,1.1,7.16
14,d_tough_choices_4942395e_0015,synthetic-google-hashcode,78600,50004,30001,65.0,0.0,6.4,1.43,1.61,1.93
15,d_tough_choices_0e9d8eb6_0016,synthetic-google-hashcode,95546,22595,53876,32.64,0.0,8.79,1.91,1.56,10.11
16,d_tough_choices_00fdc8d0_0017,synthetic-google-hashcode,16631,30000,27029,100.61,0.0,12.6,2.33,1.02,6.89
17,d_tough_choices_8f454c7e_0018,synthetic-google-hashcode,44052,31885,25308,75.62,0.0,9.33,2.0,1.54,5.33
18,d_tough_choices_f98c5875_0019,synthetic-google-hashcode,83914,48022,37072,105.3,0.0,1.81,2.35,1.42,2.44
19,d_tough_choices_0566b476_0020,synthetic-google-hashcode,80399,53049,24087,64.06,0.0,6.8,3.2,1.17,2.93
