,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
0,e_so_many_books_36fd4544_0001,synthetic-google-hashcode,80943,1102,255,124.24,3218.19,473.69,5.31,1.34,300.58
1,e_so_many_books_b49ce3c4_0002,synthetic-google-hashcode,65329,1267,200,122.55,5828.97,309.85,7.44,1.85,497.66
2,e_so_many_books_1ac99829_0003,synthetic-google-hashcode,90029,1377,270,112.64,5598.52,593.48,7.29,1.76,525.89
3,e_so_many_books_8e1b327b_0004,synthetic-google-hashcode,96470,1393,254,122.21,3598.77,584.42,4.99,2.03,488.32
4,e_so_many_books_a9ca60be_0005,synthetic-google-hashcode,64800,1099,148,125.49,4514.37,677.27,6.36,1.51,315.51
5,e_so_many_books_a1c60656_0006,synthetic-google-hashcode,77891,1103,177,117.31,6151.13,417.47,4.14,1.95,362.58
6,e_so_many_books_91b390b8_0007,synthetic-google-hashcode,81569,1000,153,168.42,5850.49,491.94,5.77,1.2,450.35
7,e_so_many_books_6340f99f_0008,synthetic-google-hashcode,72122,1000,249,125.49,5187.1,471.16,6.8,1.92,488.32
8,e_so_many_books_8ad850fe_0009,synthetic-google-hashcode,60124,1081,185,121.07,4418.59,659.1,4.71,1.53,405.57
9,e_so_many_books_8177a069_0010,synthetic-google-hashcode,90563,1321,185,87.69,6019.05,491.94,4.11,1.99,407.93
10,e_so_many_books_3aa536ae_0011,synthetic-google-hashcode,96980,808,238,132.61,4351.59,365.17,5.43,1.49,488.32
11,e_so_many_books_f8d40c6e_0012,synthetic-google-hashcode,74501,1000,144,125.49,6610.4,491.94,5.37,1.36,627.94
12,e_so_many_books_7eda700f_0013,synthetic-google-hashcode,74622,682,200,125.49,7064.21,670.75,5.64,1.55,614.16
13,e_so_many_books_2ff5d872_0014,synthetic-google-hashcode,61142,1318,254,151.65,4508.77,314.23,5.43,2.0,522.44
14,e_so_many_books_718434b5_0015,synthetic-google-hashcode,75365,1000,237,126.02,5605.44,511.16,6.66,1.96,488.32
15,e_so_many_books_b13c109a_0016,synthetic-google-hashcode,87449,1000,134,125.49,5187.1,384.9,5.43,1.69,337.84
16,e_so_many_books_a466356f_0017,synthetic-google-hashcode,100000,1390,226,107.38,4022.86,350.55,3.6,1.49,314.19
17,e_so_many_books_a2c3f8a4_0018,synthetic-google-hashcode,92759,666,174,144.82,3176.88,569.86,5.43,1.72,612.16
18,e_so_many_books_73672556_0019,synthetic-google-hashcode,100000,630,227,92.78,4224.07,620.4,5.55,1.02,500.81
19,e_so_many_books_243043f1_0020,synthetic-google-hashcode,100000,1165,205,174.38,5187.1,556.39,4.83,1.73,330.12
