,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
0,f_libraries_of_the_world_2904fcc8_0001,synthetic-google-hashcode,95081,1568,357,368.4,88559.24,509.34,166.19,10.06,814.21
1,f_libraries_of_the_world_9084e4c6_0002,synthetic-google-hashcode,70562,616,770,346.65,44865.72,206.04,264.8,12.31,228.12
2,f_libraries_of_the_world_d9366c6f_0003,synthetic-google-hashcode,100000,704,823,482.87,17401.75,550.94,120.13,7.47,781.44
3,f_libraries_of_the_world_b1d70c81_0004,synthetic-google-hashcode,92516,1000,726,422.17,57933.18,193.71,75.56,5.82,362.15
4,f_libraries_of_the_world_202c7fbb_0005,synthetic-google-hashcode,100000,1000,552,429.95,55102.41,252.18,240.31,6.53,506.18
5,f_libraries_of_the_world_ff5880d5_0006,synthetic-google-hashcode,68820,512,797,282.04,53362.16,509.34,142.81,7.47,506.18
6,f_libraries_of_the_world_cb75eb18_0007,synthetic-google-hashcode,42880,1425,700,281.45,24129.46,250.14,181.74,6.53,438.88
7,f_libraries_of_the_world_19e11881_0008,synthetic-google-hashcode,100000,1000,1146,447.12,69254.35,497.59,242.38,9.2,824.84
8,f_libraries_of_the_world_2f2e8b9e_0009,synthetic-google-hashcode,93683,1000,700,401.11,37065.52,243.22,99.21,7.47,180.08
9,f_libraries_of_the_world_c4f53b6f_0010,synthetic-google-hashcode,44359,1588,334,290.32,77716.58,850.81,212.68,7.47,172.35
10,f_libraries_of_the_world_99c371ef_0011,synthetic-google-hashcode,100000,1000,700,550.69,72503.34,563.37,203.87,7.43,520.48
11,f_libraries_of_the_world_7e73667b_0012,synthetic-google-hashcode,42134,1399,325,166.28,59692.39,714.12,145.83,7.47,506.18
12,f_libraries_of_the_world_3c431233_0013,synthetic-google-hashcode,100000,571,616,596.11,75043.54,462.72,166.19,12.01,506.18
13,f_libraries_of_the_world_f3510d16_0014,synthetic-google-hashcode,95894,1303,861,458.33,75205.69,200.43,101.83,10.69,506.18
14,f_libraries_of_the_world_ba5142fe_0015,synthetic-google-hashcode,82471,1412,288,205.14,53362.16,398.42,50.68,7.47,409.6
15,f_libraries_of_the_world_1b09e979_0016,synthetic-google-hashcode,31711,1000,350,249.17,53362.16,383.44,261.89,3.45,803.38
16,f_libraries_of_the_world_0dd77d9e_0017,synthetic-google-hashcode,46163,514,372,401.11,68673.05,509.34,215.79,10.54,510.87
17,f_libraries_of_the_world_a09a20fa_0018,synthetic-google-hashcode,100000,1000,965,366.73,18415.43,665.5,238.99,11.43,506.18
18,f_libraries_of_the_world_36b10b83_0019,synthetic-google-hashcode,75072,552,242,240.17,64631.79,709.18,221.28,11.01,157.26
19,f_libraries_of_the_world_a7dee856_0020,synthetic-google-hashcode,100000,1658,1033,473.78,37063.69,248.64,166.19,3.12,506.18
