Unnamed: 0,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
0,b_read_on_bb65b82f_0001,synthetic-google-hashcode,98427,93,1008,92.56,0.0,918.75,12.24,1.04,0.0
1,b_read_on_a3a0fb72_0002,synthetic-google-hashcode,90370,107,1075,100.0,0.0,1010.17,12.79,1.02,0.0
2,b_read_on_ae764741_0003,synthetic-google-hashcode,90102,107,1040,93.12,0.0,1000.0,10.91,1.1,0.0
3,b_read_on_a1f9bbd1_0004,synthetic-google-hashcode,92715,100,996,95.07,0.0,1000.0,12.18,1.07,0.0
4,b_read_on_b90f49a0_0005,synthetic-google-hashcode,91850,103,900,95.03,0.0,1000.82,11.48,1.09,0.0
5,b_read_on_63152f68_0006,synthetic-google-hashcode,95548,92,917,95.76,0.0,1074.17,11.81,1.09,0.0
6,b_read_on_2c13bfa0_0007,synthetic-google-hashcode,97777,106,1099,106.96,0.0,910.34,12.38,1.06,0.0
7,b_read_on_2d885f5d_0008,synthetic-google-hashcode,96145,92,1000,101.08,0.0,1084.17,12.58,1.0,0.0
8,b_read_on_01f99cf5_0009,synthetic-google-hashcode,95150,108,1061,96.97,0.0,947.54,12.83,1.04,0.0
9,b_read_on_328b35fa_0010,synthetic-google-hashcode,91114,103,1016,102.6,0.0,990.34,11.69,1.03,0.0
10,b_read_on_9dd53cfe_0011,synthetic-google-hashcode,93086,104,1097,103.16,0.0,1065.2,12.13,1.1,0.0
11,b_read_on_65979f81_0012,synthetic-google-hashcode,100000,100,1000,100.0,0.0,1042.96,12.54,1.0,0.0
12,b_read_on_52955c0d_0013,synthetic-google-hashcode,96570,103,933,100.0,0.0,999.57,11.79,1.02,0.0
13,b_read_on_783ef8e9_0014,synthetic-google-hashcode,94191,101,1014,109.0,0.0,1092.85,11.81,1.01,0.0
14,b_read_on_05d2f01a_0015,synthetic-google-hashcode,97660,100,1021,92.75,0.0,1087.04,11.47,1.02,0.0
15,b_read_on_d72938be_0016,synthetic-google-hashcode,91911,92,1073,103.4,0.0,1009.85,12.46,1.04,0.0
16,b_read_on_3f0495a3_0017,synthetic-google-hashcode,97620,93,986,109.06,0.0,1000.0,12.68,1.03,0.0
17,b_read_on_2b7b3309_0018,synthetic-google-hashcode,90073,103,917,100.0,0.0,1000.0,12.59,1.0,0.0
18,b_read_on_64dbee78_0019,synthetic-google-hashcode,100000,100,1021,91.87,0.0,922.86,11.81,1.0,0.0
19,b_read_on_01fe9967_0020,synthetic-google-hashcode,100000,98,972,95.96,0.0,944.39,11.5,1.08,0.0
0,b_read_on_bed4122a_0001,synthetic-google-hashcode,77147,136,1000,157.36,0.0,364.91,5.19,1.92,0.0
1,b_read_on_56811c7b_0002,synthetic-google-hashcode,79791,100,1535,100.0,0.0,132.54,14.82,1.0,0.0
2,b_read_on_66618a42_0003,synthetic-google-hashcode,14513,119,92,120.36,0.0,1000.0,20.05,1.88,0.0
3,b_read_on_aac2e6ab_0004,synthetic-google-hashcode,69905,60,1078,11.21,0.0,1000.0,11.44,1.81,0.0
4,b_read_on_d77cd34c_0005,synthetic-google-hashcode,63340,100,1000,14.76,0.0,1000.0,11.81,1.04,0.0
5,b_read_on_695ee752_0006,synthetic-google-hashcode,40996,100,1489,48.19,0.0,718.59,12.77,1.41,0.0
6,b_read_on_4b10b4d7_0007,synthetic-google-hashcode,100000,100,1000,188.92,0.0,1869.62,17.22,1.74,0.0
7,b_read_on_1e42245f_0008,synthetic-google-hashcode,9164,70,1000,100.0,0.0,22.72,20.12,1.03,0.0
8,b_read_on_c7537f3d_0009,synthetic-google-hashcode,9263,100,259,117.63,0.0,1636.47,14.61,1.94,0.0
9,b_read_on_1ac13f76_0010,synthetic-google-hashcode,96690,111,1373,44.28,0.0,1817.08,17.6,1.25,0.0
10,b_read_on_c7346a6c_0011,synthetic-google-hashcode,56319,104,1673,100.0,0.0,1548.41,22.54,1.0,0.0
11,b_read_on_f0a61a7e_0012,synthetic-google-hashcode,68167,16,1575,100.8,0.0,1056.65,18.6,1.66,0.0
12,b_read_on_eb906eb8_0013,synthetic-google-hashcode,93217,138,693,100.0,0.0,1861.24,11.81,1.59,0.0
13,b_read_on_fb23684a_0014,synthetic-google-hashcode,100000,31,356,80.9,0.0,756.33,11.81,1.91,0.0
14,b_read_on_75d57d7c_0015,synthetic-google-hashcode,14878,121,1000,127.84,0.0,542.15,12.94,1.0,0.0
15,b_read_on_65845de0_0016,synthetic-google-hashcode,38805,100,489,100.0,0.0,1942.49,9.55,1.56,0.0
16,b_read_on_760a84db_0017,synthetic-google-hashcode,82990,174,1400,153.88,0.0,1902.3,9.18,1.94,0.0
17,b_read_on_d402b5d7_0018,synthetic-google-hashcode,12894,132,159,100.0,0.0,221.36,9.41,1.9,0.0
18,b_read_on_20401f07_0019,synthetic-google-hashcode,100000,43,1671,101.81,0.0,1727.0,11.81,1.16,0.0
19,b_read_on_a53a1fbf_0020,synthetic-google-hashcode,48572,59,172,160.22,0.0,931.21,11.81,1.16,0.0
0,b_read_on_36252cee_0001,synthetic-google-hashcode,100000,100,1000,114.15,0.0,904.6,9.64,1.0,0.0
1,b_read_on_fde6090d_0002,synthetic-google-hashcode,84975,96,1164,100.0,0.0,1051.7,13.18,1.12,0.0
2,b_read_on_1707deff_0003,synthetic-google-hashcode,89616,82,1086,99.39,0.0,1060.93,11.94,1.01,0.0
3,b_read_on_42741b11_0004,synthetic-google-hashcode,96508,106,1158,105.43,0.0,872.57,13.48,1.09,0.0
4,b_read_on_278718e6_0005,synthetic-google-hashcode,88058,80,1000,100.0,0.0,828.15,9.47,1.13,0.0
5,b_read_on_3db9a5d0_0006,synthetic-google-hashcode,92802,100,857,97.45,0.0,1006.02,11.81,1.09,0.0
6,b_read_on_3a480913_0007,synthetic-google-hashcode,97152,82,863,84.86,0.0,994.82,10.62,1.01,0.0
7,b_read_on_55f9e5b1_0008,synthetic-google-hashcode,99784,88,1000,100.0,0.0,1189.86,10.35,1.07,0.0
8,b_read_on_208f85a6_0009,synthetic-google-hashcode,88385,92,1124,100.0,0.0,908.54,10.44,1.11,0.0
9,b_read_on_22b7ff19_0010,synthetic-google-hashcode,92669,118,848,97.67,0.0,1183.8,12.63,1.13,0.0
10,b_read_on_8c11362e_0011,synthetic-google-hashcode,91472,100,1057,97.96,0.0,1102.19,13.07,1.08,0.0
11,b_read_on_c16460cd_0012,synthetic-google-hashcode,98404,114,1000,98.12,0.0,1191.99,13.39,1.08,0.0
12,b_read_on_27166bc5_0013,synthetic-google-hashcode,100000,100,1141,112.09,0.0,1084.4,10.84,1.2,0.0
13,b_read_on_14c33081_0014,synthetic-google-hashcode,80551,94,1054,100.0,0.0,901.47,11.81,1.11,0.0
14,b_read_on_a22dd494_0015,synthetic-google-hashcode,97966,91,1135,100.0,0.0,932.43,13.42,1.1,0.0
15,b_read_on_a78fef58_0016,synthetic-google-hashcode,94884,88,1043,92.79,0.0,927.65,10.13,1.11,0.0
16,b_read_on_615680d1_0017,synthetic-google-hashcode,97998,93,957,118.01,0.0,1078.88,9.77,1.04,0.0
17,b_read_on_33c49efb_0018,synthetic-google-hashcode,97715,92,1081,111.29,0.0,1000.0,12.53,1.0,0.0
18,b_read_on_d09da4e4_0019,synthetic-google-hashcode,90637,81,973,108.02,0.0,924.07,10.26,1.0,0.0
19,b_read_on_12ce63a2_0020,synthetic-google-hashcode,99157,108,1058,115.7,0.0,873.42,11.32,1.0,0.0
0,b_read_on_b1e65e8e_0001,synthetic-google-hashcode,76990,100,1230,96.45,0.0,1059.72,8.62,1.08,0.0
1,b_read_on_ac3aef01_0002,synthetic-google-hashcode,100000,76,921,100.0,0.0,1000.0,9.56,1.0,0.0
2,b_read_on_31a588c2_0003,synthetic-google-hashcode,80245,100,1077,100.0,0.0,1045.95,14.8,1.24,0.0
3,b_read_on_42573ab4_0004,synthetic-google-hashcode,100000,71,1226,100.0,0.0,779.87,11.81,1.15,0.0
4,b_read_on_10d11cbc_0005,synthetic-google-hashcode,86407,100,1231,111.77,0.0,1000.0,13.13,1.19,0.0
5,b_read_on_0f127e1e_0006,synthetic-google-hashcode,100000,114,1057,100.0,0.0,1000.0,9.64,1.14,0.0
6,b_read_on_b6bfea16_0007,synthetic-google-hashcode,71542,93,1262,121.31,0.0,1000.0,12.89,1.23,0.0
7,b_read_on_19e024a1_0008,synthetic-google-hashcode,80518,116,1000,100.0,0.0,1000.0,11.81,1.09,0.0
8,b_read_on_016ff9fa_0009,synthetic-google-hashcode,94022,130,1000,103.67,0.0,762.07,10.36,1.27,0.0
9,b_read_on_b4c36b52_0010,synthetic-google-hashcode,87527,73,1005,104.31,0.0,1225.91,8.34,1.0,0.0
10,b_read_on_c4500c1b_0011,synthetic-google-hashcode,92031,105,1147,100.0,0.0,1237.93,11.81,1.0,0.0
11,b_read_on_6a2e4f0b_0012,synthetic-google-hashcode,97024,74,808,97.21,0.0,798.1,13.97,1.08,0.0
12,b_read_on_58555014_0013,synthetic-google-hashcode,98094,119,1000,72.25,0.0,1000.0,13.39,1.21,0.0
13,b_read_on_fdfde945_0014,synthetic-google-hashcode,96486,97,1280,106.82,0.0,1108.92,11.81,1.27,0.0
14,b_read_on_237dc7b4_0015,synthetic-google-hashcode,80668,117,900,90.02,0.0,976.52,11.81,1.25,0.0
15,b_read_on_ad27a8de_0016,synthetic-google-hashcode,75038,100,1000,91.45,0.0,1000.0,14.92,1.0,0.0
16,b_read_on_5cd9d1c5_0017,synthetic-google-hashcode,80883,124,1061,96.73,0.0,768.62,13.06,1.05,0.0
17,b_read_on_238ecda8_0018,synthetic-google-hashcode,100000,121,1172,101.74,0.0,883.16,11.55,1.0,0.0
18,b_read_on_a80fe212_0019,synthetic-google-hashcode,98731,79,1000,115.34,0.0,1209.24,12.65,1.16,0.0
19,b_read_on_86eac1d5_0020,synthetic-google-hashcode,93108,109,1000,100.0,0.0,1071.93,9.6,1.27,0.0
0,b_read_on_57656adf_0001,synthetic-google-hashcode,87412,100,889,100.0,0.0,1000.0,9.78,1.0,0.0
1,b_read_on_718b8ff7_0002,synthetic-google-hashcode,76095,89,1176,135.6,0.0,1381.95,12.78,1.12,0.0
2,b_read_on_843b4230_0003,synthetic-google-hashcode,76299,84,1239,89.5,0.0,1320.67,8.08,1.22,0.0
3,b_read_on_887f6cc7_0004,synthetic-google-hashcode,67751,121,1029,134.45,0.0,638.06,11.81,1.02,0.0
4,b_read_on_0fc23689_0005,synthetic-google-hashcode,81808,100,853,88.43,0.0,1376.68,11.07,1.15,0.0
5,b_read_on_eb1d0fac_0006,synthetic-google-hashcode,100000,95,1301,65.52,0.0,1045.33,11.81,1.0,0.0
6,b_read_on_a3a2fb83_0007,synthetic-google-hashcode,90192,100,1215,121.79,0.0,1379.71,14.11,1.18,0.0
7,b_read_on_7b1448f6_0008,synthetic-google-hashcode,62090,91,1068,113.61,0.0,618.29,8.5,1.0,0.0
8,b_read_on_65938139_0009,synthetic-google-hashcode,83074,81,997,115.83,0.0,997.6,11.76,1.27,0.0
9,b_read_on_647b88c0_0010,synthetic-google-hashcode,93395,74,1114,100.0,0.0,1048.18,11.81,1.07,0.0
10,b_read_on_6f390120_0011,synthetic-google-hashcode,62728,66,1000,100.0,0.0,1188.31,11.81,1.12,0.0
11,b_read_on_e53c82ff_0012,synthetic-google-hashcode,100000,115,975,104.51,0.0,1392.69,7.24,1.05,0.0
12,b_read_on_2ff3d7bb_0013,synthetic-google-hashcode,75159,100,1292,103.96,0.0,864.03,11.74,1.08,0.0
13,b_read_on_67cd61aa_0014,synthetic-google-hashcode,80419,88,1000,134.96,0.0,1346.34,11.81,1.0,0.0
